Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
121,tt0217505,2014-01-04,2014-01-04,,Gangs of New York,http://www.imdb.com/title/tt0217505/,movie,7.5,167,2002,"Crime, Drama",345071,2002-12-09,Martin Scorsese
122,tt0142688,2014-01-06,2014-01-06,,The Ninth Gate,http://www.imdb.com/title/tt0142688/,movie,6.7,133,1999,"Mystery, Thriller",146359,1999-08-25,Roman Polanski
123,tt1028532,2014-01-10,2014-01-10,,Hachi: A Dog's Tale,http://www.imdb.com/title/tt1028532/,movie,8.1,93,2009,"Drama, Family",191692,2009-06-13,Lasse Hallström
124,tt2132285,2014-01-12,2014-01-12,,The Bling Ring,http://www.imdb.com/title/tt2132285/,movie,5.6,90,2013,"Biography, Crime, Drama",73594,2013-05-16,Sofia Coppola
125,tt2545118,2014-01-13,2014-01-13,,Blackfish,http://www.imdb.com/title/tt2545118/,movie,8.1,83,2013,"Documentary, Drama",52036,2013-01-19,Gabriela Cowperthwaite
126,tt2064713,2014-01-14,2014-01-14,,A Band Called Death,http://www.imdb.com/title/tt2064713/,movie,7.5,96,2012,"Documentary, Biography, Music",3042,2012-06-16,"Mark Christopher Covino, Jeff Howlett"
127,tt2366450,2014-01-15,2014-01-15,,Stories We Tell,http://www.imdb.com/title/tt2366450/,movie,7.6,108,2012,Documentary,10453,2012-08-30,Sarah Polley
128,tt2085910,2014-01-15,2014-01-15,,Room 237,http://www.imdb.com/title/tt2085910/,movie,6.2,102,2012,Documentary,18404,2012-01-23,Rodney Ascher
129,tt2130321,2014-01-15,2014-01-15,,West of Memphis,http://www.imdb.com/title/tt2130321/,movie,7.9,147,2012,"Documentary, Crime",8492,2012-01-21,Amy Berg
130,tt1277936,2014-01-15,2014-01-15,,Cropsey,http://www.imdb.com/title/tt1277936/,movie,6.4,84,2009,"Documentary, Crime, Horror, Mystery",6418,2009-04-25,"Barbara Brancaccio, Joshua Zeman"
131,tt1151309,2014-01-16,2014-01-16,,Bigger Stronger Faster*,http://www.imdb.com/title/tt1151309/,movie,7.6,105,2008,"Documentary, Sport",12403,2008-01-19,Chris Bell
132,tt2492916,2014-01-17,2014-01-17,,Muscle Shoals,http://www.imdb.com/title/tt2492916/,movie,7.7,111,2013,"Documentary, Biography, History, Music",3042,2013-01-26,Greg 'Freddy' Camalier
133,tt2370248,2014-01-18,2014-01-18,,Short Term 12,http://www.imdb.com/title/tt2370248/,movie,8.0,96,2013,Drama,65709,2013-03-10,Destin Daniel Cretton
134,tt2296697,2014-01-18,2014-01-18,,Concussion,http://www.imdb.com/title/tt2296697/,movie,5.7,96,2013,Drama,3389,2013-01-19,Stacie Passon
135,tt2024544,2014-01-18,2014-01-18,,12 Years a Slave,http://www.imdb.com/title/tt2024544/,movie,8.1,134,2013,"Biography, Drama, History",514622,2013-08-30,Steve McQueen
136,tt1457767,2014-01-19,2014-01-19,,The Conjuring,http://www.imdb.com/title/tt1457767/,movie,7.5,112,2013,"Horror, Mystery, Thriller",349422,2013-06-08,James Wan
137,tt2088714,2014-01-19,2014-01-19,,Call Me Kuchu,http://www.imdb.com/title/tt2088714/,movie,7.6,87,2012,"Documentary, Drama",680,2012-02-11,"Malika Zouhali-Worrall, Katherine Fairfax Wright"
138,tt1934269,2014-01-20,2014-01-20,,Yossi,http://www.imdb.com/title/tt1934269/,movie,7.0,84,2012,"Drama, Romance",2435,2012-04-19,Eytan Fox
139,tt3479540,2014-01-24,2014-01-24,,Loputon Gehennan liekki,http://www.imdb.com/title/tt3479540/,movie,6.6,51,2011,"Documentary, Music",152,2011-10-27,Sami Kettunen
140,tt2521668,2014-01-26,2014-01-26,,Les Revenants,http://www.imdb.com/title/tt2521668/,tvSeries,8.2,52,2012,"Drama, Fantasy, Horror, Mystery",17427,2012-11-26,
141,tt2910328,2014-01-30,2014-01-30,,No Fire Zone: The Killing Fields of Sri Lanka,http://www.imdb.com/title/tt2910328/,movie,6.6,49,2013,"Documentary, Crime",304,2013-03-23,Callum Macrae
142,tt1682181,2014-02-07,2014-02-07,,Bully,http://www.imdb.com/title/tt1682181/,movie,7.4,98,2011,Documentary,9351,2011-04-23,Lee Hirsch
143,tt2306745,2014-02-07,2014-02-07,,Sound City,http://www.imdb.com/title/tt2306745/,movie,7.8,107,2013,"Documentary, Music",10822,2013-01-18,Dave Grohl
144,tt0993846,2014-02-09,2014-02-09,,The Wolf of Wall Street,http://www.imdb.com/title/tt0993846/,movie,8.2,180,2013,"Biography, Comedy, Crime, Drama",914484,2013-12-17,Martin Scorsese
